en,vi
2024-09-26 17:58:19.256399,2024-09-26 17:58:19.256399
"""""",""""""
"""Sound Card""","""Card âm thanh"""
"""(default)""","""(mặc định)"""
"""cannot enumerate sound cards""","""không thể liệt kê card âm thanh"""
"""enter device name...""","""nhập tên thiết bị..."""
"""Usage: alsamixer [options]""","""Sử dụng: alsamixer [tùy chọn]"""
"""""","""Useful options:\n"""
"""""","""Debugging options:\n"""
"""invalid card index: %s\n""","""chỉ mục card không hợp lệ: %s\n"""
"""unknown abstraction level: %s\n""","""lớp ảo hóa không rõ: %s\n"""
"""unknown option: %c\n""","""tùy chọn không rõ: %c\n"""
"""try `alsamixer --help' for more information\n""","""thử `alsamixer --help' để biết thêm thông tin\n"""
"""Device name:""","""Tên thiết bị:"""
"""%s: %s\n""","""%s: %s\n"""
"""Card:""","""Card:"""
"""Chip:""","""Chip:"""
"""View:""","""Xem:"""
"""Item:""","""Mục:"""
"""F1:  Help""","""F1:  Trợ giúp"""
"""F2:  System information""","""F2:  Thông tin hệ thống"""
"""F6:  Select sound card""","""F6: Chọn card âm thanh"""
"""Esc: Exit""","""Esc: Thoát"""
"""(unplugged)""","""(chưa cắm)"""
"""Playback""","""Phát"""
"""Capture""","""Thu"""
"""All""","""Tất cả"""
"""mute""","""câm"""
"""dB gain:""","""tăng dB:"""
""" [%s %s, %s]""",""" [%s %s, %s]"""
"""Off""","""Tắt"""
"""On""","""Bật"""
"""The sound device was unplugged.""","""Thiết bị âm thanh chưa cắm vào."""
"""Press F6 to select another sound card.""","""Nhấn F6 để chọn một card âm thanh khác."""
"""This sound device does not have any playback controls.""","""Thiết bị âm thanh này không có bất kỳ điều khiển phát lại nào."""
"""This sound device does not have any capture controls.""","""Thiết bị âm thanh này không có bất kỳ điều khiển thu nào."""
"""This sound device does not have any controls.""","""Thiết bị âm thanh này không có bất kỳ điều khiển nào."""
"""O""","""O"""
"""M""","""M"""
"""L""","""L"""
"""R""","""R"""
"""CAPTURE""","""THU"""
"""Front""","""Trước"""
"""Rear""","""Sau"""
"""Center""","""Trung tâm"""
"""Woofer""","""Loa trầm"""
"""Side""","""Bên"""
"""cannot open mixer""","""không thể mở bộ trộn"""
"""cannot load mixer controls""","""không thể nạp điều khiển bộ trộn"""
"""Cannot open mixer device '%s'.""","""Không thể mở thiết bị trộn '%s'."""
"""Esc     Exit""","""Esc     Thoát"""
"""F1 ? H  Help""","""F1 ? H  Trợ giúp"""
"""F2 /    System information""","""F2 /    Thông tin hệ thống"""
"""F3      Show playback controls""","""F3      Hiện điều khiển phát lại"""
"""F4      Show capture controls""","""F4      Hiện điều khiển thu"""
"""F5      Show all controls""","""F5      Hiện tất cả điều khiển"""
"""Tab     Toggle view mode (F3/F4/F5)""","""Tab     Chuyển chế độ xem (F3/F4/F5)"""
"""F6 S    Select sound card""","""F6 S    Chọn card âm thanh"""
"""L       Redraw screen""","""L       Vẽ lại màn hình"""
"""Left    Move to the previous control""","""Trái    Chuyển sang điều khiển trước"""
"""Right   Move to the next control""","""Phải   Chuyển sang điều khiển tiếp"""
"""Up/Down    Change volume""","""Lên/Xuống  Thay đổi âm lượng"""
"""+ -        Change volume""","""+ -        Thay đổi âm lượng"""
"""Page Up/Dn Change volume in big steps""","""Page Up/Dn Thay đổi âm lượng nhanh hơn"""
"""End        Set volume to 0%""","""End        Đặt âm lượng về 0%"""
"""0-9        Set volume to 0%-90%""","""0-9        Đặt âm lượng từ 0%-90%"""
"""Q W E      Increase left/both/right volumes""","""Q W E      Tăng âm lượng kênh trái/cả hai/phải"""
"""Z X C      Decrease left/both/right volumes""","""Z X C      Giảm âm lượng trái/cả hai/phải"""
"""B          Balance left and right volumes""","""B          Cân bằng âm lượng kênh trái và phải"""
"""M          Toggle mute""","""M          Bật/tắt âm thanh"""
"""< >        Toggle left/right mute""","""< >        Bật/tắt kênh trái/phải"""
"""Space      Toggle capture""","""Space      Bật/tắt thu"""
"""; '        Toggle left/right capture""","""; '        Bật tắt thu kênh trái/phải"""
"""Authors:""","""Tác giả:"""
"""  Tim Janik""","""  Tim Janik"""
"""  Jaroslav Kysela <perex@perex.cz>""","""  Jaroslav Kysela <perex@perex.cz>"""
"""  Clemens Ladisch <clemens@ladisch.de>""","""  Clemens Ladisch <clemens@ladisch.de>"""
"""Help""","""Trợ giúp"""
"""Select File""","""Chọn tập tin"""
"""Error""","""Lỗi"""
"""Cannot open file \""","""Không thể mở tập tin \"""
"""raw data""","""dữ liệu thô"""
"""VOC""","""VOC"""
"""WAVE""","""WAVE"""
"""Sparc Audio""","""Âm thanh SPARC"""
"""""","""Usage: %s [OPTION]... [FILE]...\n"""
"""Recognized sample formats are:""","""Định dạng mẫu đã nhận ra là:"""
"""""","""\n"""
"""The available format shortcuts are:\n""",""""""
"""-f cd (16 bit little endian, 44100, stereo)\n""","""-f cd (16 bit little endian, 44100, stereo)\n"""
"""-f cdr (16 bit big endian, 44100, stereo)\n""","""-f cdr (16 bit big endian, 44100, stereo)\n"""
"""-f dat (16 bit little endian, 48000, stereo)\n""","""-f dat (16 bit little endian, 48000, stereo)\n"""
"""no soundcards found...""","""không tìm thấy card âm thanh..."""
"""**** List of %s Hardware Devices ****\n""","""*** Danh sách %s thiết bị phần cứng ***\n"""
"""card %i: %s [%s], device %i: %s [%s]\n""","""card %i: %s [%s], thiết bị %i: %s [%s]\n"""
"""  Subdevices: %i/%i\n""","""  Thiết bị con: %i/%i\n"""
"""  Subdevice #%i: %s\n""","""  Thiết bị con #%i: %s\n"""
"""Aborted by signal %s...\n""","""Đã thoát bởi tín hiệu %s...\n"""
"""command should be named either arecord or aplay""","""lệnh phải được đặt tên là arecord hoặc aplay"""
"""unrecognized file format %s""","""không nhận ra định dạng tập tin %s"""
"""invalid channels argument '%s'""",""""""
"""value %i for channels is invalid""","""giá trị %i cho các kênh không hợp lệ"""
"""wrong extended format '%s'""","""sai định dạng mở rộng '%s'"""
"""invalid rate argument '%s'""",""""""
"""bad speed value %i""","""giá trị tốc độ %i kém"""
"""duration and samples arguments cannot be used together""",""""""
"""invalid duration argument '%s'""",""""""
"""samples and duration arguments cannot be used together""",""""""
"""invalid samples argument '%s'""",""""""
"""invalid period time argument '%s'""",""""""
"""invalid buffer time argument '%s'""",""""""
"""invalid period size argument '%s'""",""""""
"""invalid buffer size argument '%s'""",""""""
"""invalid min available space argument '%s'""",""""""
"""invalid start delay argument '%s'""",""""""
"""invalid stop delay argument '%s'""",""""""
"""invalid test coef argument '%s'""",""""""
"""invalid max file time argument '%s'""",""""""
"""Unable to parse channel map string: %s\n""",""""""
"""Try `%s --help' for more information.\n""","""Thử `%s --help' để biết thêm thông tin.\n"""
"""audio open error: %s""","""lỗi mở âm thanh: %s"""
"""info error: %s""","""lỗi thông tin: %s"""
"""nonblock setting error: %s""","""lỗi thiết lập không chặn: %s"""
"""not enough memory""","""không đủ bộ nhớ"""
"""Cannot create process ID file %s: %s""","""Không thể tạo tập tin ID tiến trình %s: %s"""
"""read error (called from line %i)""","""lỗi đọc (được gọi từ dòng %i)"""
"""unknown length of 'fmt ' chunk (read %u, should be %u at least)""","""độ dài không rõ của mảng 'fmt ' (đã đọc %u, ít nhất nên là %u)"""
"""""","""unknown length of extensible 'fmt ' chunk (read %u, should be %u at least)"""
"""wrong format tag in extensible 'fmt ' chunk""","""thẻ định dạng sai của mảng 'fmt ' mở rộng"""
"""can't play WAVE-file format 0x%04x which is not PCM or FLOAT encoded""",""""""
"""can't play WAVE-files with %d tracks""","""không thể phát các tập tin WAVE với %d rãnh"""
"""valid bps greater than bps: %d > %d""",""""""
"""Warning: format is changed to U8\n""","""Cảnh báo: định dạng bị đổi sang U8\n"""
"""Warning: format is changed to %s\n""",""""""
"""""",""" can't play WAVE-files with sample %d bits in %d bytes wide (%d channels)"""
""" can't play WAVE-files with sample %d bits wide""",""" không thể phát các tập tin WAVE với mẫu %d bit rộng"""
"""Warning: format is changed to MU_LAW\n""","""Cảnh báo: định dạng bị đổi sang MU_LAW\n"""
"""Warning: format is changed to S16_BE\n""","""Cảnh báo:định dạng bị đổi sang S16_BE\n"""
"""read error""","""lỗi đọc"""
"""Channel numbers don't match between hw_params and channel map""",""""""
"""Warning: unable to get channel map\n""",""""""
"""Channel %d doesn't match with hw_params""",""""""
"""Broken configuration for this PCM: no configurations available""","""Cấu hình hỏng cho PCM này: không có cấu hình sẵn sàng"""
"""HW Params of device \""",""""""
"""Access type not available""","""Kiểu truy cập không sẵn sàng"""
"""Sample format non available""","""Định dạng mẫu không sẵn sàng"""
"""Channels count non available""","""Đếm kênh không sẵn sàng"""
"""Warning: rate is not accurate (requested = %iHz, got = %iHz)\n""","""Cảnh báo: tốc độ không chính xác (đã yêu cầu %iHz, nhận được %iHz)\n"""
"""         please, try the plug plugin %s\n""","""         hãy thử sử dụng trình bổ sung %s\n"""
"""Unable to install hw params:""","""Không thể cài đặt các tham số phần cứng:"""
"""Can't use period equal to buffer size (%lu == %lu)""",""""""
"""Unable to get current sw params.""",""""""
"""unable to install sw params:""","""không thể cài đặt các tham số phần mềm:"""
