en|fr
2024 09 26 14:58:43.681998|2023 06 03 12:57:58.136125
Overview|Vue densemble
Debian Members Package Overview|Vue densemble des paquets du membre Debian
Debian Members Package Overview showing all email addresses|Vue densemble des paquets du membre Debian affichage de tous les courriels
Bugs|Bogues
bugs received (note: co maintainers not listed, see #430986)|Bogues reçus (note co responsables non listés, voir #430986)
bugs reported|Bogues rapportés
user tags|Tags utilisateur
correspondent for bugs|Correspondant pour les bogues
one year open bug history graph|Graphique de lévolution des bogues ouverts sur lannée écoulée
Build|Construire
Quality Assurance|Assurance qualité
maintainer dashboard|tableau de bord du mainteneur
lintian reports|Rapports lintian
full lintian reports (i.e. including info level messages)|Rapports lintian complets (c à d incluant les messages de niveau info)
piuparts|Piuparts
Mailing Lists|Listes de diffusion
Files|Fichiers
oldpeople|anciens
Membership|Adhésion
DB information via finger|BD d’informations via finger
DB information via HTTP|BD d’informations via HTTP
Miscellaneous|Divers
debtags|Debtags
Planet Debian (name)|Planet Debian (nom)
Planet Debian (username)|Planet Debian (nom d’utilisateur)
links|Liens
Debian website|Site web de Debian
Debian search|Recherche Debian
OpenPGP public key via finger|Clef OpenPGP publique via finger
OpenPGP public key via HTTP|Clef OpenPGP publique via HTTP
NM, AM participation|participation NM, AM
Contribution information|Informations de contribution
Repology information|Informations de Repology
Information reachable via ssh (for Debian Members)|Informations accessibles via ssh (pour les membres de Debian)
owned debian.net domains|Propriété des domaines debian.net
MIA database information|Informations de la base de données MIA
Group membership information|Information sur l’adhésion de groupe
Email address|Courriel
Name|Nom
OpenPGP fingerprint|Empreinte OpenPGP
Debian user name|Nom d’utilisateur Debian
Non Debian email address|Courriel hors Debian
Salsa user name|Nom d’utilisateur Salsa
Missing input:|Entrée manquante
Debian Member Portfolio Service|Service de portefeuille des membres de Debian
Debian Logo|Logo Debian
This service has been inspired by Stefano Zacchirolis DDPortfolio page in the Debian Wiki. You can create a set of customized links leading to a Debian Members or package maintainers information regarding Debian.|Ce service a été inspiré par la page DDPortfolio du Wiki de Debian de Stefano Zacchiroli. Vous pouvez créer un ensemble personnalisé de liens fournissant des informations sur un membre ou un mainteneur de paquet de Debian.
AGPL Free Software|AGPL Logiciel libre
The service is available under the terms of the GNU Affero General Public License as published by the Free Software Foundation, either version 3 of the License, or (at your option) any later version. You can browse the source code or clone it from using git. If you want to translate this service to your language you can contribute at Weblate.|Ce service est disponible sous les termes de la licence GNU Affero General Public License telle que publiée par la Free Software Foundation, soit la version 3 de la licence, ou (à votre choix) toute version ultérieure. Vous pouvez parcourir le code source ou le cloner depuis en utilisant git. Si vous voulez traduire ce service dans votre langage, vous pouvez contribuer chez Weblate.
Enter your personal information|Saisissez vos informations personnelles
Debian Member Portfolio|Portefeuille d’un Membre de Debian
Email address:|Courriel
Show all form fields|Afficher tous les champs du formulaire
Name:|Nom
OpenPGP fingerprint:|Empreinte OpenPGP
Debian user name:|Nom d’utilisateur Debian
Non Debian email address:|Courriel hors Debian
Salsa user name:|Nom d’utilisateur Salsa
Wiki user name:|Nom d’utilisateur Wiki
Forum user id:|Numéro d’utilisateur Forum
Output format:|Format de sortie
Build Debian Member Portfolio URLs|Construire les URLs du portefeuille du membre de Debian
Your personal links|Vos liens personnels
Debian Member Porfolio|Portefeuille d’un membre de Debian
Usage|Utilisation
Error during URL creation:|Erreur durant la création de l’URL
Restart|Recommencer
