af,ar,be,bn,bg,ca,zh_CN,zh_TW,hr,cs,da,nl,en,en_GB,et,fi,fr,gl,ka,de,el,gu,hi,hu,id,it,ja,km,ko,lt,ms,mr,nb,nn,fa,pl,pt,pt_BR,pa,ro,ru,sr,sk,sl,es,sv,ta,th,tr,uk
2024-09-24 10:21:31.728094,2024-09-24 10:21:33.069837,2024-09-24 10:21:34.866218,2024-09-24 10:21:36.310098,2024-09-24 10:21:37.918333,2024-09-24 10:21:39.372156,2024-09-24 10:21:41.118244,2024-09-24 10:21:42.557275,2024-09-24 10:21:43.611459,2024-09-24 10:21:45.011336,2024-09-24 10:21:47.327908,2024-09-24 10:21:48.442066,2024-09-24 10:21:49.860610,2024-09-24 10:21:51.638060,2024-09-24 10:21:53.412430,2024-09-24 10:21:54.909574,2024-09-24 10:21:56.520816,2024-09-24 10:21:59.048227,2024-09-24 10:22:00.690173,2024-09-24 10:22:02.058295,2024-09-24 10:22:03.608021,2024-09-24 10:22:05.082916,2024-09-24 10:22:06.642547,2024-09-24 10:22:07.714881,2024-09-24 10:22:08.707986,2024-09-24 10:22:09.753953,2024-09-24 10:22:11.462625,2024-09-24 10:22:13.790789,2024-09-24 10:22:15.410450,2024-09-24 10:22:17.530066,2024-09-24 10:22:19.114681,2024-09-24 10:22:20.517827,2024-09-24 10:22:21.988068,2024-09-24 10:22:23.458172,2024-09-24 10:22:24.922238,2024-09-24 10:22:26.448135,2024-09-24 10:22:27.967254,2024-09-24 10:22:29.311350,2024-09-24 10:22:30.897333,2024-09-24 10:22:32.030486,2024-09-24 10:22:33.309534,2024-09-24 10:22:35.127399,2024-09-24 10:22:36.928101,2024-09-24 10:22:38.560417,2024-09-24 10:22:40.467936,2024-09-24 10:22:43.258092,2024-09-24 10:22:46.108302,2024-09-24 10:22:47.552313,2024-09-24 10:22:49.038131,2024-09-24 10:22:50.308352
vertaler_krediete,المترجمون,,,"Борислав Митев <morbid_viper@tkzs.org>, 2003, 2004, 2005, 2006, 2007, 2008, 2009",Distribució,文件内容索引,"Chao-Hsiung Liao <j_h_liau@yahoo.com.tw>, 2003, 2005
Craig Jeffares <cjeffares@novell.com>, 2004
Joe Man <trmetal@yahoo.com.hk>, 2001
Ray Chen <swyear@gmail.com>, 2007, 2008, 2009, 2010, 2011, 2012
Ramax Lo <ramaxlo@gmail.com>, 2013, 2014, 2015, 2016, 2017, 2018",Zasluge prevodica,Distribuce,"Martin Schlander <suse@linuxin.dk>, 2006, 2007, 2008
Martin Møller <martin@martinm-76.dk>, 2005, 2007, 2008
Jan Madsen <jan.madsen.pt@gmail.com>, 2006, 2007, 2008
Ib Larsen <i.la@tele2adsl.dk>, 2006, 2007, 2008
Mailingliste <opensuse-da@opensuse.org>, 2006, 2007, 2008
scootergrisen, 2018",Distributie,firmware,translator-credits,"Ain Vagula <avagula@gmail.com>, 2006",Jakelu,Distribution,anovar,"სახელი, გვარი",Distribution,"Κώστας Μπουκουβάλας <quantis@hellug.gr>, 2007
Ευστάθιος Ιωσηφίδης <iosifidis@opensuse.org>, 2011, 2012, 2013, 2019
Κώστας Κουδάρας <warlordfff@opensuse.org>, 2011
Νίκος Μαντάς <orion_0@opensuse.org>, 2015, 2016, 2017
Αλέξανδρος Βέννος <alexandros.venn@gmail.com>, 2015
Κωνσταντίνα Τσολάκογλου <konstantina@accountant.com>, 2018",ટ્રાન્સલેટર-ક્રેડીટ્સ,संगीता,Kéménczy Kálmán <kkemenczy@novell.com>,zypper,deteriorato,ディストリビューション,"ខឹម សុខែម, ម៉ន ម៉េត, សេង សុត្ថា, ចាន់ សម្បត្តិរតនៈ, សុខ សុភា","Yunseok Choi <xein@naver.com>, 2008, 2009, 2010, 2014",programinė aparatinė įranga,translator-credits Mohd Yazid Idrus <yazidrus@gmail.com> 2017,अनुवादाचे श्रेय ,Oversettelse: Olav Pettershagen,Oversettelse: Olav Pettershagen,توزیع,Dystrybucja,Distribuição,Distribuição,"A S Alam <aalam@users.sf.net>,2006,2007,2008
JoT <jattontesting@gmail.com>2007",Distribuție,Дистрибутив,"Данило Шеган <danilo@gnome.org>

Prevod.org — превод на српски језик.",Distribúcia,Distribucija,archivo,Distribution,மொழிபெயர்ப்பாளர்-வரவுகள்,"ถนอมทรัพย์ นพบูรณ์ <donga.nb@gmail.com>, 2010.",,"Переклад:
о. Іван Петрущак <fr.ivan@ukrainian-orthodox.org>, 2005-2011,
Андрій Бандура <andriykopanytsia@gmail.com>, 2012-2018
Тарас Панченко <top39@ukr.net>, 2021-2022"
Vrystellingsnotas,ملاحظات الإصدار,Заўвага да выпуску,,Бележки за изданието,Equip de traducció d'openSUSE al català: opensusecatala@gmail.com,文件内容索引,發行紀事,,"Tým překladatelů l10n.opensuse.org <opensuse-translation@opensuse.org>, 2022",Udgivelsesnoter,"Ruurd Pels <ruurdpels@kde.nl>, 2006
Rinse de Vries <rinsedevries@kde.nl>, 2006, 2007
Nathan Follens <nthn@unseen.is>, 2016-2017
Freek de Kruijf <freek@opensuse.org>, 2008-2023
Natasha Ament <stacheldrahtje@gmail.com>,2024",upgrade,Release Notes,Väljalaske-eelsed märkused,"Tommi Nieminen <translator@legisign.org>, 2010–2021","Guillaume GARDET <guillaume.gardet@opensuse.org>, 2007-2016
Antoine BELVIRE <antoine.belvire@opensuse.org>, 2015-2019
Sylvain TOSTAIN <locnar@gmx.com>, 2013",erros,რელიზის შენიშვნები,"Übersetzer-Credits: Michael Skiba <trans@michael-skiba.de>, 2007-2009; Marko Schugardt <mail.sapex@gmx.de>, 2008-2009; Hermann-Josef Beckers <hj.beckers@web.de>; Christian Boltz <opensuse@cboltz.de>, 2009; Sarah Julia Kriesch <sarah-julia.kriesch@gmx.de>, Vinzenz Vietzke <vinz@vinzv.de>, Steven Seifried <steven.seifried@canox.net>, 2013-2018",Σημειώσεις έκδοσης,પ્રકાશન નોંધ,रिलीज़ नोट्स,,drm-kmp-default,sostanziale,"相花 毅 <aihana@gnome.gr.jp>
Akira TAGOH <tagoh@gnome.gr.jp>
Yukihiro Nakai <nakai@gnome.gr.jp>
Takuo KITAME <kitame@debian.org>
日本GNOMEユーザー会 http://www.gnome.gr.jp
Yasuhiko Kamata <belphegor@belbel.or.jp>",ឯកសារ​ចេញ​ផ្សាយ,릴리즈 노트,duomenys,Nota Terbitan,मुक्तता करारपत्र,Merknader om utgivelsesversjon,Merknader om utviklingsversjon,لیست مترجمان,tłumacz-kredyty,"António Cardoso Martins <digiplan.pt@gmail.com>, 2004, 2008
Elísio André Martins Catana <ecatana@gmail.com>, 2004, 2006
Rui Malheiro <rmalheiro@6mil.pt>, 2004, 2006
Carlos Gonçalves <cgoncalves@opensuse.org>, 2007, 2008
Pedro Rosado <pdvrosado@gmail.com>
Hugo Carvalho <hugokarvalho@hotmail.com>","Luiz Fernando Ranghetti <elchevive@gmail.com>, 2007-2022
Rodrigo A. S. Macedo <sottomaiormacedotec@sottomaiormacedo.tech>, 2019-2024",,Instalare,"Переводчики:
Александр Мелентьев <minton@opensuse.org>, 2008-2023",Напомене о издању,"Ladislav Michnovič <lmichnovic@suse.cz>, 2008
Ferdinand Galko <galko.ferdinand@gmail.com>, 2015, 2018, 2023","Jure Repinc <jlp@holodeck1.com>, 2024",motor,"Mattias Newzella <newzella@linux.se>, 2006
Jonas Svensson <jks@ekhorva.se>, 2016, 2019
Fredrik Persson <fpersson.se@gmail.com>, 2022
Luna Jernberg <bittin@opensuse.org>, 2021, 2022, 2023",வெளியீட்டு குறிப்புகள்,บันทึกประจำรุ่น,Sürüm Notları,Примітки до випуску
,'@VERSION@',,,'@VERSION@',Notes de la versió,桌面配置,'@VERSION@',,Poznámky k vydání,'@VERSION@',Uitgavenotities,zypper,'@VERSION@',,Julkaisutiedot,Notes de version,patrón,,Versionshinweise,'@ΕΚΔΟΣΗ@',,'@संस्करण@',,Tumbleweed,compromettere,リリースノート,,'@VERSION@',atnaujinti,Versi,'@आवृत्ती@','@VERSION@',,یادداشت‌های انتشار,Informacje o wydaniu,Notas da versão,Notas de lançamento,,Instantanee Btrfs,Примечания к выпуску,'@ВЕРЗИЈА@',Poznámky k vydaniu,Opombe ob izdaji,dañado,Versionsinformation,'@பதிப்பு@',,'@VERSION@','@VERSION@'
,أوبن سوزي ليب,,,openSUSE Leap,'@VERSIÓ@',发行说明,openSUSE Leap,openSUSE,'@VERSION@',openSUSE Leap,'@VERSION@',file content index,openSUSE Leap,openSUSE.org,'@VERSIO@','@VERSION@',,,'@VERSION@',openSUSE Leap,,openSUSE Leap,openSUSE,Distribusi,Distribuzione,'@VERSION@',អូផឹន​ស៊ូស៊ី,오픈수세 Leap,atnaujinimas,openSUSE Leap,ओपनसुसे लीप,openSUSE Leap,openSUSE,'@نسخه@','@VERSION@','@VERSION@','@VERSION@',openSUSE,Comunitatea de traducători openSUSE România <traduceri@suseromania.ro>,'@VERSION@',openSUSE Leap,'@VERSION@','@VERSION@',Distribución,'@VERSION@',openSUSE லீப்,openSUSE.org,openSUSE Leap,openSUSE Leap (Стрибок)
,15.2,,,,openSUSE Leap,发行版,15.2,,openSUSE Leap,15.2,openSUSE Leap,stale,15.2,,openSUSE Leap,openSUSE Leap,"Jesús Bravo Álvarez <jba@pobox.com>, 2000.
Manuel A. Vazquez <xixirei@yahoo.es>, 2008.
Leandro Regueiro <leandro.regueiro@gmail.com>, 2008.
Manuel A. Vázquez <xixirei@yahoo.es>, 2009, 2010, 2011, 2016, 2018",,openSUSE Leap,15.2,,15.2,,"Penerjemah
M. Edwin Zakaria <medwin@opensuse.org>, 2016, 2018, 2019
Andika Triwidada <andika@gmail.com>, 2019, 2020
Kukuh Syafaat <cho2@opensuse.org>, 2022-2023","Responsabili traduzione:
Andrea Florio <andrea@opensuse.org>, 2007,2011 
Andrea Turrini <andrea.turrini@gmail.com> 2011,2014 
Alessio Adamo <alessio.adamo@gmail.com> 2016-2018 

Ringraziamenti particolari a:
  * Andrea Turrini <andrea.turrini@gmail.com>, 2008,2014 
  * Giacomo Barazzetti, 2011,2013 
  * Eugenio Mastroviti <genia@genia.net>, 2011 
  * Giuseppe Bevacqua <gepeppe@gmail.com>, 2008 
  * Luca Giusti <addictedtox@hotmail.it>, 2008 
  * Ezio Tonetto <murdock2000@email.it>, 2008 
  * Roberta Di Mitri <robynica@hotmail.com>, 2008 
  * Craig Jeffare ed i traduttori della Novell
  * Monica Badia ed i traduttori della SUN
  * Alessio Dessi
  * Clara Tattoni
  * Marco Ciampa
  * tutti i revisori del TP
  * Ettore Perazzoli, perso, ma mai dimenticato
  * Alberto Passalacqua <alberto.passalacqua@tin.it>, 2005,2007 
  * Luca Ferretti <elle.uca@infinito.it>",openSUSE Leap,,,naujovinti; atnaujinti,,,15.2,,اوپن سوزه Leap,openSUSE Leap,openSUSE Leap,openSUSE Leap,,Note de lansare,openSUSE Leap,,openSUSE Leap,openSUSE Leap,"Sergio Gabriel Teves, 2007-2013
Javier Llorente, 2013-2024
Carlos Robinson M., 2007-2008, 2013-2014
Victorhck, 2015
Ioannes Andreas <ioannes@opensuse.org>, 2018-2020",openSUSE Leap,15.2,,,
,أوبن سوزي ليب نظام تشغيل مجاني يعتمد على لينكس لأجهزة الحاسب الآلي ، والحاسب المحمول أو الخادم. يمكنك تصفح الويب وإدارة البريد الإلكتروني والصور، القيام بأعمال المكتب، وتشغيل الفيديو أو الموسيقى هناك الكثير من المتعة في استخدام أوبن سوزي!,,,"openSUSE Leap е свободна Linux базирана операционна система за Вашия персонален компютър, лаптоп или сървър. Вие можете да сърфирате в интернет, да управлявате своите електронни съобщения и снимки, да работите с офисн програми, да гледате видео или да слушате музика и не на последно място - да се забавлявате!",15.2,事务服务器,openSUSE Leap 是一個自由的基於 Linux 的作業系統，可運作在您的桌上型電腦、筆記型電腦或是伺服器。您可以用它來瀏覽網頁、管理您的電子郵件與相片、進行生產力工作、播放影片或音樂。使用它讓您充滿樂趣！,,15.2,"openSUSE Leap er et frit, Linux-baseret styresystem til din PC, bærbare og server. Du kan surfe på internettet, håndtere dine e-mails og fotos, lave kontorarbejde, afspille videoer og musik og have det sjovt!",15.2,file,"openSUSE Leap is a free and Linux-based operating system for your PC, Laptop or Server. You can surf the web, manage your e-mails and photos, do office work, play videos or music and have a lot of fun!",,15.2,15.2,Notas da versión,,15.2,"Το openSUSE Leap είναι δωρεάν έκδοση λειτουργικού συστήματος βασισμένου σε Linux για τον υπολογιστή σας, το λάπτοπ ή τον διακομιστή. Μπορείτε να πλοηγηθείτε στο διαδίκτυο, να διαχειριστείτε την ηλεκτρονική αλληλογραφία και τις φωτογραφίες σας, να κάνετε δουλειά γραφείου, να αναπαράγετε βίντεο ή μουσική και να το διασκεδάσετε!",,"आपके कंप्यूटर, लैपटॉप या सर्वर हेतु एक मुक्त व लिनक्स-आधारित ऑपरेटिंग सिस्टम है। इसके द्वारा आप इंटरनेट का उपयोग, ईमेल व फोटो संचालित करना, ऑफिस संबंधी कार्य, गाने व वीडियो देखना तथा ,और भी बहुत कुछ कर सकते हैं!",,Catatan Rilis,Note di rilascio,15.2,,"오픈수세 Leap 는 무료로 컴퓨터, 노트북 혹은 서버에 사용할 수 있는 리눅스 기반의 OS 입니다. 오픈수세를 이용해서 웹을 검색하거나, 메일과 사진을 관리할 수 있고, 사무작업을 하거나 비디오 또는 음악을 재생하는 즐거운 일을 할 수 있습니다!",naujovinimas; atnaujinimas,"openSUSE Leap ialah sistem operasi berasaskan Linux dan percuma untuk PC anda, laptop atau server. Anda boleh melayari Web, menguruskan email, foto, melakukan kerja pejabat, bermain video atau muzik dan menikmati pelbagai keseronokan!","ओपनसुसे लीप एक विनामूल्य आणि आपल्या पीसी, लॅपटॉप किंवा सर्व्हरसाठी लिनक्स-आधारित ऑपरेटिंग सिस्टम आहे. आपण वेब सर्फ करू शकता, आपले ई-मेल आणि फोटो व्यवस्थापित करू शकता, कार्यालय कार्य करू शकता, व्हिडिओ किंवा संगीत प्ले करू शकता आणि भरपूर मजा करू शकता!","OpenSUSE Leap er et fri og Linux-basert operativsystem for din datamaskin, bærbare maskin eller server. Du kan lese nettsider, håndtere e-post og bilder, gjøre kontorarbeid, spille av videoer og musikk, samt ha masse gøy!",,۱۵.۲,15. 2,,15.2,,'@VERSIUNE@',15.2,"openSUSE Leap је бесплатан и Линук-базиран оперативни систем за ваш рачунар, лаптоп или сервер. Можете сурфати на Вебу, управљати вашим е-поштом и фотографијама, радити у канцеларији, играти видео записе или музику и забављати се!",15.2,,Notas de la versión,15.2,,,"openSUSE Leap; PC'niz, dizüstü bilgisayarınız veya sunucunuz için ücretsiz ve Linux tabanlı bir işletim sistemidir. Web'de gezinebilir, e-postalarınızı ve fotoğraflarınızı yönetebilir, ofis çalışmalarınızı yürütebilir, video ve müzik çalabilir ve oldukça eğlenebilirsiniz!","openSUSE Leap — це вільна операційна система на базі Linux для Вашого ПК, ноутбука або сервера. Ви можете блукати просторами інтернету, управляти поштою та світлинами, виконувати офісну роботу, дивитися відео чи слухати музику та отримати безліч задоволення!"
,https://bugzilla.opensuse.org/enter_bug.cgi,,,https://bugzilla.opensuse.org/enter_bug.cgi,"L'openSUSE Leap és un sistema operatiu lliure basat en Linux per al vostre ordinador de sobretaula, portàtil o servidor. Podeu usar-lo per navegar per Internet, gestionar el correu i les fotografies, fer feina d'oficina, reproduir vídeos o música i passar-vos-ho molt bé!","玛格丽特‧苏 <marguerite@opensuse.org>, 2013
Grover Chou <groverchout@opensuse.org>, 2017, 2022
Dingzhong Chen <wsxy162@gmail.com>, 2018",https://bugzilla.opensuse.org/enter_bug.cgi,,"openSUSE Leap je svobodný operační systém založený na Linuxu, který je určený jak pro váš osobní počítač, notebook, tak i pro server. Můžete v něm brouzdat na internetu, spravovat e-maily a fotky, pracovat v kanceláři, přehrávat filmy či hudbu a bavit se!",https://bugzilla.opensuse.org/enter_bug.cgi,"openSUSE Leap is een vrij en op Linux gebaseerd besturingssysteem voor uw pc, laptop of server. U kunt op het web surfen, uw e-mailberichten en foto's beheren, kantoorwerk doen, video's of muziek afspelen en veel plezier hebben!",File content indexing,https://bugzilla.opensuse.org/enter_bug.cgi,,"openSUSE Leap on ilmainen Linux-pohjainen käyttöjärjestelmä pöytätietokoneeseesi, kannettavaasi tai palvelimeesi. Voit selata internetiä, hallita sähköpostejasi ja valokuviasi, käyttää toimistosovelluksia, katsoa videoita ja kuunnella musiikkia sekä pitää hauskaa!","openSUSE Leap est un système d'exploitation libre et basé sur Linux pour votre ordinateur personnel, votre ordinateur portable ou votre serveur. Vous pouvez surfer sur le web, gérer vos e-mails et vos photos, faire du travail bureautique, lire des vidéos ou de la musique, et vous amuser !",'@VERSION@',,"openSUSE Leap ist ein freies und Linux-basiertes Betriebssystem für Ihren PC, Laptop oder Server. Sie können im Internet surfen, Ihre E-Mails und Fotos verwalten, Büroarbeiten erledigen, Videos oder Musik abspielen und eine Menge Spaß haben!",https://bugzilla.opensuse.org/enter_bug.cgi,,https://bugzilla.opensuse.org/enter_bug.cgi,,'@VERSION@','@VERSION@',openSUSE Leap はお使いの PC やラップトップ、サーバなどで動作する、 Linux ベースの自由なオペレーティングシステムです。 Web の閲覧や電子メール／写真の管理、オフィス作業やビデオ／音楽の再生などを行なうことができます。お楽しみください！,,,naujovinimas,https://bugzilla.opensuse.org/enter_bug.cgi,https://bugzilla.opensuse.org/enter_bug.cgi,https://bugzilla.opensuse.org/enter_bug.cgi,,اوپن سوزا Leap یک سیستم عامل رایگان و بر پایه ی لینوکس برای رایانه ی شخصی، لپ تاپ و یا سرور شما است. شما میتوانید وب گردی کنید، ایمیل های و تصاویر خود را مدیریت کنید، کارهای دفتری انجام دهید، آهنگ و ویدیو پخش کنید و حسابی خوش بگذرانید!,"openSUSE Leap to darmowy system operacyjny oparty na Linuksie dla komputera PC, laptopa lub serwera. Możesz surfować po Internecie, zarządzać wiadomościami e-mail i zdjęciami, wykonywać pracę biurową, odtwarzać filmy lub muzykę i świetnie się bawić!","O openSUSE Leap é um sistema operativo gratuito e baseado em Linux para o seu PC, Computador Portátil ou Servidor. Pode navegar na Web, gerir os seus e-mails e fotos, fazer trabalho de escritório, reproduzir vídeos ou música e divertir-se muito!","O openSUSE Leap é um sistema operacional livre baseado no Linux para o seu PC, laptop ou servidor. Você pode navegar na internet, gerenciar seus e-mails e fotos, fazer seu trabalho de escritório, reproduzir vídeos ou músicas e divertir-se!",,openSUSE Leap,"openSUSE Leap — это свободная операционная система на базе Linux для Вашего ПК, ноутбука или сервера. Вы можете просматривать веб, управлять почтой и фотографиями, выполнять офисную работу, смотреть видео или слушать музыку. Have a lot of fun!",https://bugzilla.opensuse.org/enter_bug.cgi,"openSUSE Leap je slobodný a na Linuxe založený operačný systém pre PC, notebook alebo server. Môžete surfovať po Webe, spravovať svoje e-maily a fotografie, robiť kancelársku prácu, prehrávať videá či hudbu a užiť si veľa zábavy!","openSUSE Leap je prost na Linuxu temelječ operacijski sistem za osebne računalnike, prenosnike in strežnike. Z njim lahko brskate po spletu, upravljate svojo elektronsko pošto in fotografije, izvajate pisarniška opravila, predvajate video posnetke in glasbo ter se zelo zabavate.",'@VERSION@',"openSUSE Leap är ett fritt Linuxbaserat operativsystem för stationära och bärbara datorer såväl som servrar. Du kan surfa på nätet, hantera e-post och bilder, göra kontorsarbeten, spela upp filmer och musik. Och dessutom ha kul!",https://bugzilla.opensuse.org/enter_bug.cgi,,https://bugzilla.opensuse.org/enter_bug.cgi,https://bugzilla.opensuse.org/enter_bug.cgi
,توزيعة أوبن سوزي,,,Дистрибуция openSUSE,https://bugzilla.opensuse.org/enter_bug.cgi,发行说明,openSUSE 發行版,openSUSE dokumentacija,https://bugzilla.opensuse.org/enter_bug.cgi,openSUSE distributionen,https://bugzilla.opensuse.org/enter_bug.cgi,major,openSUSE Distribution,Dokumentatsioon,https://bugzilla.opensuse.org/enter_bug.cgi,https://bugzilla.opensuse.org/enter_bug.cgi,openSUSE Leap,,https://bugzilla.opensuse.org/enter_bug.cgi,Διανομή openSUSE,,openSUSE वितरण,openSUSE dokumentáció,openSUSE Leap,openSUSE Leap,https://bugzilla.opensuse.org/enter_bug.cgi,ឯកសារ​អូផឹន​ស៊ូស៊ី,오픈수세 설명서,atnaujinimas,openSUSE Distribution,ओपनसुसे वितरण,openSUSE distribusjon,openSUSE-dokumentasjon,https://bugzilla.opensuse.org/enter_bug.cgi,https://bugzilla.opensuse.org/enter_bug.cgi,https://bugzilla.opensuse.org/enter_bug.cgi,https://bugzilla.opensuse.org/enter_bug.cgi,ਦਸਤਾਵੇਜ਼,,https://bugzilla.opensuse.org/enter_bug.cgi,openSUSE Дистрибуција,https://bugzilla.opensuse.org/enter_bug.cgi,https://bugzilla.opensuse.org/enter_bug.cgi,openSUSE Leap,https://bugzilla.opensuse.org/enter_bug.cgi,openSUSE விநியோகம்,ระบบเอกสารของ openSUSE,openSUSE Dağıtımı,Дистрибутив openSUSE
,lukas.kucharczyk@suse.com,,,,Distribució d'openSUSE,'@VERSION@',lukas.kucharczyk@suse.com,,Distribuce openSUSE,,openSUSE distributie,drm-kmp-default,,,openSUSE-jakelu,Distribution openSUSE,,,openSUSE Distribution,,,,,15.2,15.2,openSUSE ディストリビューション,,,paketas,,,,,توزیع openSUSE,Dystrybucja openSUSE,Distribuição openSUSE,Distribuição openSUSE,,"openSUSE Leap este un sistem de operare gratuit și bazat pe Linux pentru PC, laptop sau server. Puteți naviga pe Web, vă puteți gestiona e-mailurile și fotografiile, puteți face muncă de birou, puteți reda videoclipuri sau muzică și să aveți parte de multă distracție!",Дистрибутив openSUSE,,Distribúcia openSUSE,Distribucija openSUSE,15.2,openSUSE distribution,lukas.kucharczyk@suse.com,,lukas.kucharczyk@suse.com,lukas.kucharczyk@suse.com
